split,image_path,label_path,klass,disease_code,risk,x0,y0,x1,y1,label_normal_vs_d3,label_normal_vs_d4,label_normal_d3_d4,in_train_normal_vs_d3,in_train_normal_vs_d4,in_train_normal_d3_d4
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_10.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_10.jpg.json,disease_3,3,1,1045.0,347.0,2311.0,1963.0,1,-1,1,1,0,1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_13.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_13.jpg.json,disease_3,3,1,521.0,668.0,2307.0,3004.0,1,-1,1,1,0,1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_16.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_16.jpg.json,disease_3,3,1,0.0,292.0,2452.0,2444.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_17.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_17.jpg.json,disease_3,3,1,195.0,527.0,2714.0,2569.0,1,-1,1,1,0,1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_18.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_18.jpg.json,disease_3,3,1,0.0,861.0,2720.0,2798.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_19.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_19.jpg.json,disease_3,3,1,0.0,380.0,2775.0,2818.0,1,-1,1,1,0,1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_9.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_9.jpg.json,disease_3,3,1,961.0,262.0,2372.0,2674.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_1.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_1.jpeg.json,disease_3,3,1,583.0,499.0,2725.0,2801.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_10.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_10.jpeg.json,disease_3,3,1,1289.0,266.0,2961.0,2995.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_11.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_11.jpeg.json,disease_3,3,1,629.0,112.0,3366.0,2930.0,1,-1,1,1,0,1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_14.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_14.jpeg.json,disease_3,3,1,935.0,301.0,3298.0,2898.0,1,-1,1,1,0,0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_2.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_2.jpeg.json,disease_3,3,1,1230.0,381.0,3263.0,2758.0,1,-1,1,1,0,0
