split,image_path,label_path,klass,disease_code,risk,x0,y0,x1,y1
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_10.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_10.jpg.json,disease_3,3,1,1045.0,347.0,2311.0,1963.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_13.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_13.jpg.json,disease_3,3,1,521.0,668.0,2307.0,3004.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_16.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_16.jpg.json,disease_3,3,1,0.0,292.0,2452.0,2444.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_17.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_17.jpg.json,disease_3,3,1,195.0,527.0,2714.0,2569.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_18.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_18.jpg.json,disease_3,3,1,0.0,861.0,2720.0,2798.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_19.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_19.jpg.json,disease_3,3,1,0.0,380.0,2775.0,2818.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201014_9.jpg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201014_9.jpg.json,disease_3,3,1,961.0,262.0,2372.0,2674.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_1.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_1.jpeg.json,disease_3,3,1,583.0,499.0,2725.0,2801.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_10.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_10.jpeg.json,disease_3,3,1,1289.0,266.0,2961.0,2995.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_11.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_11.jpeg.json,disease_3,3,1,629.0,112.0,3366.0,2930.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_14.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_14.jpeg.json,disease_3,3,1,935.0,301.0,3298.0,2898.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_2.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_2.jpeg.json,disease_3,3,1,1230.0,381.0,3263.0,2758.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_3.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_3.jpeg.json,disease_3,3,1,644.0,626.0,3507.0,2388.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_6.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_6.jpeg.json,disease_3,3,1,687.0,1082.0,3255.0,2862.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_7.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_7.jpeg.json,disease_3,3,1,621.0,250.0,3564.0,2747.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201026_9.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201026_9.jpeg.json,disease_3,3,1,0.0,350.0,3529.0,2983.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201027_1.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201027_1.jpeg.json,disease_3,3,1,637.0,660.0,3424.0,3024.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201027_10.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201027_10.jpeg.json,disease_3,3,1,0.0,0.0,3069.0,2847.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201027_11.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201027_11.jpeg.json,disease_3,3,1,846.0,910.0,2399.0,2942.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201027_14.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201027_14.jpeg.json,disease_3,3,1,336.0,565.0,3500.0,2702.0
train,data/by_disease/train/disease_3/images/V006_79_1_03_02_03_12_1_2852e_20201027_2.jpeg,data/by_disease/train/disease_3/labels/V006_79_1_03_02_03_12_1_2852e_20201027_2.jpeg.json,disease_3,3,1,567.0,506.0,3338.0,2753.0
