split,klass,disease_code,risk,crop,area,grow,region,date,img_w,img_h,aspect,n_boxes,ext,box_w,box_h,box_area,box_rel_area,box_aspect,cx_norm,cy_norm
train,normal,0,0,2,3,11,,2020-11-10,720,960,0.75,1,.jpg,206,396,81576,0.11802083333333334,0.5202020202020202,0.38333333333333336,0.5114583333333333
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,273,401,109473,0.15838107638888888,0.6807980049875312,0.3576388888888889,0.5703125
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,283,426,120558,0.1744184027777778,0.6643192488262911,0.43680555555555556,0.45208333333333334
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,284,553,157052,0.2272164351851852,0.5135623869801085,0.3527777777777778,0.5026041666666666
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,236,441,104076,0.15057291666666667,0.5351473922902494,0.30972222222222223,0.48385416666666664
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,341,505,172205,0.24913917824074075,0.6752475247524753,0.41597222222222224,0.5390625
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,315,622,195930,0.28346354166666665,0.5064308681672026,0.44930555555555557,0.41458333333333336
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,279,448,124992,0.18083333333333335,0.6227678571428571,0.33819444444444446,0.5041666666666667
train,normal,0,0,2,3,11,,2020-11-12,960,720,1.3333333333333333,1,.jpg,384,259,99456,0.1438888888888889,1.4826254826254825,0.490625,0.49236111111111114
train,normal,0,0,2,3,11,,2020-11-12,960,720,1.3333333333333333,1,.jpg,431,220,94820,0.13718171296296297,1.959090909090909,0.5328125,0.3416666666666667
train,normal,0,0,2,3,11,,2020-11-12,960,720,1.3333333333333333,1,.jpg,413,242,99946,0.14459780092592592,1.7066115702479339,0.5796875,0.4625
train,normal,0,0,2,3,11,,2020-11-12,720,960,0.75,1,.jpg,285,496,141360,0.20451388888888888,0.5745967741935484,0.3076388888888889,0.5489583333333333
train,normal,0,0,2,3,11,,2020-11-16,720,960,0.75,1,.jpg,365,578,210970,0.3052228009259259,0.6314878892733564,0.4826388888888889,0.6041666666666666
train,normal,0,0,2,3,11,,2020-11-16,720,960,0.75,1,.jpg,465,604,280860,0.40633680555555557,0.7698675496688742,0.5270833333333333,0.48333333333333334
train,normal,0,0,2,3,11,,2020-11-16,720,960,0.75,1,.jpg,327,618,202086,0.29236979166666666,0.529126213592233,0.40625,0.490625
train,normal,0,0,2,3,11,,2020-11-16,720,960,0.75,1,.jpg,397,653,259241,0.37505931712962964,0.6079632465543645,0.4215277777777778,0.5526041666666667
train,normal,0,0,2,3,11,,2020-11-16,720,960,0.75,1,.jpg,414,671,277794,0.4019010416666667,0.61698956780924,0.4652777777777778,0.5692708333333333
train,normal,0,0,2,3,11,,2020-11-16,960,720,1.3333333333333333,1,.jpg,654,372,243288,0.3519791666666667,1.7580645161290323,0.515625,0.5555555555555556
train,normal,0,0,2,3,11,,2020-11-19,720,960,0.75,1,.jpg,386,592,228512,0.33060185185185187,0.652027027027027,0.5,0.575
train,normal,0,0,2,3,11,,2020-11-19,720,960,0.75,1,.jpg,303,568,172104,0.24899305555555556,0.5334507042253521,0.5090277777777777,0.546875
train,normal,0,0,2,3,11,,2020-11-19,720,960,0.75,1,.jpg,369,602,222138,0.3213802083333333,0.6129568106312292,0.4576388888888889,0.5572916666666666
train,normal,0,0,2,3,11,,2020-11-19,720,960,0.75,1,.jpg,370,582,215340,0.3115451388888889,0.6357388316151202,0.46805555555555556,0.6135416666666667
train,normal,0,0,2,3,11,,2020-11-19,720,960,0.75,1,.jpg,350,545,190750,0.2759693287037037,0.6422018348623854,0.37083333333333335,0.5348958333333333
train,normal,0,0,2,3,11,,2020-11-10,720,960,0.75,1,.jpg,348,491,170868,0.24720486111111112,0.7087576374745418,0.4638888888888889,0.6515625
